"","Region","Confirmed","Day_Confirmed","Date","Cumulative_tests","Day_test"
"1","AK",272,15,"20200412",8038,306
"2","AL",3525,334,"20200412",21583,334
"3","AR",1280,54,"20200412",19722,1144
"4","AS",0,0,"20200412",3,0
"5","AZ",3539,146,"20200412",42109,1579
"6","CA",21794,2322,"20200412",190328,18252
"7","CO",6893,383,"20200412",34873,2220
"8","CT",12035,525,"20200412",41220,1389
"9","DC",1875,97,"20200412",10640,601
"10","DE",1479,0,"20200412",11103,0
"11","FL",19355,861,"20200412",182753,9820
"12","GA",12452,293,"20200412",54453,2738
"13","GU",133,0,"20200412",826,0
"14","HI",486,21,"20200412",17968,437
"15","IA",1587,77,"20200412",17592,460
"16","ID",1407,11,"20200412",14308,544
"17","IL",20852,1672,"20200412",100735,8586
"18","IN",7928,493,"20200412",42489,3274
"19","KS",1337,69,"20200412",13253,910
"20","KY",1840,147,"20200412",24567,279
"21","LA",20595,581,"20200412",104045,7130
"22","MA",25475,2615,"20200412",116730,7954
"23","MD",8225,531,"20200412",49764,2526
"24","ME",633,17,"20200412",6721,17
"25","MI",24638,645,"20200412",79437,3423
"26","MN",1621,194,"20200412",37421,2017
"27","MO",4160,136,"20200412",45200,2028
"28","MP",11,0,"20200412",38,0
"29","MS",2781,139,"20200412",21413,139
"30","MT",387,10,"20200412",8913,332
"31","NC",4520,208,"20200412",62139,1746
"32","ND",308,15,"20200412",10350,270
"33","NE",791,91,"20200412",10691,706
"34","NH",929,44,"20200412",10925,432
"35","NJ",61850,3699,"20200412",126735,6542
"36","NM",1174,83,"20200412",28692,1594
"37","NV",2836,136,"20200412",24611,1024
"38","NY",188694,8236,"20200412",461601,20621
"39","OH",6604,417,"20200412",63243,2835
"40","OK",1970,102,"20200412",22760,102
"41","OR",1527,156,"20200412",29758,2534
"42","PA",22833,1178,"20200412",124890,4737
"43","PR",897,109,"20200412",6716,345
"44","RI",2665,316,"20200412",20350,2143
"45","SC",3319,112,"20200412",31425,1332
"46","SD",730,104,"20200412",8553,549
"47","TN",5308,194,"20200412",70677,3849
"48","TX",13484,923,"20200412",124533,4000
"49","UT",2303,97,"20200412",44234,1688
"50","VA",5274,197,"20200412",39985,1986
"51","VI",51,0,"20200412",350,0
"52","VT",727,16,"20200412",9841,583
"53","WA",10224,0,"20200412",93615,0
"54","WI",3341,128,"20200412",39257,1364
"55","WV",611,34,"20200412",16257,805
"56","WY",261,0,"20200412",5459,0
"57","AK",257,11,"20200411",7732,300
"58","AL",3191,223,"20200411",21249,223
"59","AR",1226,55,"20200411",18578,1458
"60","AS",0,0,"20200411",3,0
"61","AZ",3393,281,"20200411",40530,2796
"62","CA",19472,0,"20200411",172076,7213
"63","CO",6510,0,"20200411",32653,0
"64","CT",11510,972,"20200411",39831,3543
"65","DC",1778,118,"20200411",10039,684
"66","DE",1479,153,"20200411",11103,638
"67","FL",18494,963,"20200411",172933,10103
"68","GA",12159,676,"20200411",51715,5568
