state,date,Population,deaths,confirmed
AK,01/22/20,731545,0,0
AK,01/23/20,731545,0,0
AK,01/24/20,731545,0,0
AK,01/25/20,731545,0,0
AK,01/26/20,731545,0,0
AK,01/27/20,731545,0,0
AK,01/28/20,731545,0,0
AK,01/29/20,731545,0,0
AK,01/30/20,731545,0,0
AK,01/31/20,731545,0,0
AK,02/01/20,731545,0,0
AK,02/10/20,731545,0,0
AK,02/11/20,731545,0,0
AK,02/12/20,731545,0,0
AK,02/13/20,731545,0,0
AK,02/14/20,731545,0,0
AK,02/15/20,731545,0,0
AK,02/16/20,731545,0,0
AK,02/17/20,731545,0,0
AK,02/18/20,731545,0,0
AK,02/19/20,731545,0,0
AK,02/02/20,731545,0,0
AK,02/20/20,731545,0,0
AK,02/21/20,731545,0,0
AK,02/22/20,731545,0,0
AK,02/23/20,731545,0,0
AK,02/24/20,731545,0,0
AK,02/25/20,731545,0,0
AK,02/26/20,731545,0,0
AK,02/27/20,731545,0,0
AK,02/28/20,731545,0,0
AK,02/29/20,731545,0,0
AK,02/03/20,731545,0,0
AK,02/04/20,731545,0,0
AK,02/05/20,731545,0,0
AK,02/06/20,731545,0,0
AK,02/07/20,731545,0,0
AK,02/08/20,731545,0,0
AK,02/09/20,731545,0,0
AK,03/01/20,731545,0,0
AK,03/10/20,731545,0,0
AK,03/11/20,731545,0,0
AK,03/12/20,731545,0,0
AK,03/13/20,731545,0,1
AK,03/14/20,731545,0,1
AK,03/15/20,731545,0,1
AK,03/16/20,731545,0,1
AK,03/17/20,731545,0,3
AK,03/18/20,731545,0,5
AK,03/19/20,731545,0,8
AK,03/02/20,731545,0,0
AK,03/20/20,731545,0,11
AK,03/21/20,731545,0,13
AK,03/22/20,731545,0,18
AK,03/23/20,731545,0,30
AK,03/24/20,731545,0,34
AK,03/25/20,731545,1,41
AK,03/26/20,731545,1,56
AK,03/27/20,731545,1,58
AK,03/28/20,731545,2,85
AK,03/29/20,731545,2,102
AK,03/03/20,731545,0,0
AK,03/30/20,731545,3,114
AK,03/31/20,731545,3,119
AK,03/04/20,731545,0,0
AK,03/05/20,731545,0,0
AK,03/06/20,731545,0,0
AK,03/07/20,731545,0,0
AK,03/08/20,731545,0,0
AK,03/09/20,731545,0,0
AK,04/01/20,731545,3,132
AK,04/10/20,731545,7,246
AK,04/11/20,731545,8,257
AK,04/02/20,731545,3,143
AK,04/03/20,731545,3,157
AK,04/04/20,731545,5,171
AK,04/05/20,731545,6,185
AK,04/06/20,731545,6,190
AK,04/07/20,731545,6,213
AK,04/08/20,731545,7,226
AK,04/09/20,731545,7,235
AL,01/22/20,4903185,0,0
AL,01/23/20,4903185,0,0
AL,01/24/20,4903185,0,0
AL,01/25/20,4903185,0,0
AL,01/26/20,4903185,0,0
AL,01/27/20,4903185,0,0
AL,01/28/20,4903185,0,0
AL,01/29/20,4903185,0,0
AL,01/30/20,4903185,0,0
AL,01/31/20,4903185,0,0
AL,02/01/20,4903185,0,0
AL,02/10/20,4903185,0,0
AL,02/11/20,4903185,0,0
AL,02/12/20,4903185,0,0
AL,02/13/20,4903185,0,0
AL,02/14/20,4903185,0,0
AL,02/15/20,4903185,0,0
AL,02/16/20,4903185,0,0
AL,02/17/20,4903185,0,0
AL,02/18/20,4903185,0,0
AL,02/19/20,4903185,0,0
AL,02/02/20,4903185,0,0
AL,02/20/20,4903185,0,0
AL,02/21/20,4903185,0,0
AL,02/22/20,4903185,0,0
AL,02/23/20,4903185,0,0
AL,02/24/20,4903185,0,0
AL,02/25/20,4903185,0,0
AL,02/26/20,4903185,0,0
AL,02/27/20,4903185,0,0
AL,02/28/20,4903185,0,0
AL,02/29/20,4903185,0,0
AL,02/03/20,4903185,0,0
AL,02/04/20,4903185,0,0
AL,02/05/20,4903185,0,0
AL,02/06/20,4903185,0,0
AL,02/07/20,4903185,0,0
AL,02/08/20,4903185,0,0
AL,02/09/20,4903185,0,0
AL,03/01/20,4903185,0,0
AL,03/10/20,4903185,0,0
AL,03/11/20,4903185,0,0
AL,03/12/20,4903185,0,0
AL,03/13/20,4903185,0,5
AL,03/14/20,4903185,0,7
AL,03/15/20,4903185,0,11
AL,03/16/20,4903185,0,29
AL,03/17/20,4903185,0,39
AL,03/18/20,4903185,0,51
AL,03/19/20,4903185,0,78
AL,03/02/20,4903185,0,0
AL,03/20/20,4903185,0,106
AL,03/21/20,4903185,0,131
AL,03/22/20,4903185,0,157
AL,03/23/20,4903185,0,196
AL,03/24/20,4903185,0,242
AL,03/25/20,4903185,1,381
AL,03/26/20,4903185,1,517
AL,03/27/20,4903185,4,587
AL,03/28/20,4903185,4,694
AL,03/29/20,4903185,10,825
AL,03/03/20,4903185,0,0
AL,03/30/20,4903185,10,899
AL,03/31/20,4903185,23,987
AL,03/04/20,4903185,0,0
AL,03/05/20,4903185,0,0
AL,03/06/20,4903185,0,0
AL,03/07/20,4903185,0,0
AL,03/08/20,4903185,0,0
AL,03/09/20,4903185,0,0
AL,04/01/20,4903185,27,1060
AL,04/10/20,4903185,80,2947
AL,04/11/20,4903185,92,3217
AL,04/02/20,4903185,32,1233
AL,04/03/20,4903185,38,1495
AL,04/04/20,4903185,44,1614
AL,04/05/20,4903185,45,1765
AL,04/06/20,4903185,49,1952
AL,04/07/20,4903185,64,2169
AL,04/08/20,4903185,66,2328
AL,04/09/20,4903185,70,2703
AR,01/22/20,3017804,0,0
AR,01/23/20,3017804,0,0
AR,01/24/20,3017804,0,0
AR,01/25/20,3017804,0,0
AR,01/26/20,3017804,0,0
AR,01/27/20,3017804,0,0
AR,01/28/20,3017804,0,0
AR,01/29/20,3017804,0,0
AR,01/30/20,3017804,0,0
AR,01/31/20,3017804,0,0
AR,02/01/20,3017804,0,0
AR,02/10/20,3017804,0,0
AR,02/11/20,3017804,0,0
AR,02/12/20,3017804,0,0
AR,02/13/20,3017804,0,0
AR,02/14/20,3017804,0,0
AR,02/15/20,3017804,0,0
AR,02/16/20,3017804,0,0
AR,02/17/20,3017804,0,0
AR,02/18/20,3017804,0,0
AR,02/19/20,3017804,0,0
AR,02/02/20,3017804,0,0
AR,02/20/20,3017804,0,0
AR,02/21/20,3017804,0,0
AR,02/22/20,3017804,0,0
AR,02/23/20,3017804,0,0
AR,02/24/20,3017804,0,0
AR,02/25/20,3017804,0,0
AR,02/26/20,3017804,0,0
AR,02/27/20,3017804,0,0
AR,02/28/20,3017804,0,0
AR,02/29/20,3017804,0,0
AR,02/03/20,3017804,0,0
AR,02/04/20,3017804,0,0
AR,02/05/20,3017804,0,0
AR,02/06/20,3017804,0,0
AR,02/07/20,3017804,0,0
AR,02/08/20,3017804,0,0
AR,02/09/20,3017804,0,0
AR,03/01/20,3017804,0,0
AR,03/10/20,3017804,0,0
AR,03/11/20,3017804,0,0
AR,03/12/20,3017804,0,0
AR,03/13/20,3017804,0,9
AR,03/14/20,3017804,0,12
AR,03/15/20,3017804,0,3
AR,03/16/20,3017804,0,3
AR,03/17/20,3017804,0,3
AR,03/18/20,3017804,0,4
AR,03/19/20,3017804,0,62
AR,03/02/20,3017804,0,0
AR,03/20/20,3017804,0,100
AR,03/21/20,3017804,0,122
AR,03/22/20,3017804,0,165
AR,03/23/20,3017804,0,192
AR,03/24/20,3017804,2,219
AR,03/25/20,3017804,2,280
AR,03/26/20,3017804,2,335
AR,03/27/20,3017804,3,381
AR,03/28/20,3017804,5,409
AR,03/29/20,3017804,6,426
AR,03/03/20,3017804,0,0
AR,03/30/20,3017804,7,473
AR,03/31/20,3017804,8,523
AR,03/04/20,3017804,0,0
AR,03/05/20,3017804,0,0
AR,03/06/20,3017804,0,0
AR,03/07/20,3017804,0,0
AR,03/08/20,3017804,0,0
AR,03/09/20,3017804,0,0
AR,04/01/20,3017804,10,584
AR,04/10/20,3017804,21,1171
AR,04/11/20,3017804,25,1228
AR,04/02/20,3017804,12,643
AR,04/03/20,3017804,12,704
AR,04/04/20,3017804,14,743
AR,04/05/20,3017804,16,837
AR,04/06/20,3017804,16,875
AR,04/07/20,3017804,18,946
AR,04/08/20,3017804,18,1000
AR,04/09/20,3017804,21,1119
AZ,01/22/20,7278717,0,0
AZ,01/23/20,7278717,0,0
AZ,01/24/20,7278717,0,0
AZ,01/25/20,7278717,0,0
AZ,01/26/20,7278717,0,1
AZ,01/27/20,7278717,0,1
AZ,01/28/20,7278717,0,1
AZ,01/29/20,7278717,0,1
AZ,01/30/20,7278717,0,1
AZ,01/31/20,7278717,0,1
AZ,02/01/20,7278717,0,1
AZ,02/10/20,7278717,0,1
AZ,02/11/20,7278717,0,1
AZ,02/12/20,7278717,0,1
AZ,02/13/20,7278717,0,1
AZ,02/14/20,7278717,0,1
AZ,02/15/20,7278717,0,1
AZ,02/16/20,7278717,0,1
AZ,02/17/20,7278717,0,1
AZ,02/18/20,7278717,0,1
AZ,02/19/20,7278717,0,1
AZ,02/02/20,7278717,0,1
AZ,02/20/20,7278717,0,1
AZ,02/21/20,7278717,0,1
AZ,02/22/20,7278717,0,1
AZ,02/23/20,7278717,0,1
AZ,02/24/20,7278717,0,1
AZ,02/25/20,7278717,0,1
AZ,02/26/20,7278717,0,1
AZ,02/27/20,7278717,0,1
AZ,02/28/20,7278717,0,1
AZ,02/29/20,7278717,0,1
AZ,02/03/20,7278717,0,1
AZ,02/04/20,7278717,0,1
AZ,02/05/20,7278717,0,1
AZ,02/06/20,7278717,0,1
AZ,02/07/20,7278717,0,1
AZ,02/08/20,7278717,0,1
AZ,02/09/20,7278717,0,1
AZ,03/01/20,7278717,0,1
AZ,03/10/20,7278717,0,6
AZ,03/11/20,7278717,0,9
AZ,03/12/20,7278717,0,9
AZ,03/13/20,7278717,0,9
AZ,03/14/20,7278717,0,12
AZ,03/15/20,7278717,0,12
AZ,03/16/20,7278717,0,18
AZ,03/17/20,7278717,0,20
AZ,03/18/20,7278717,0,27
AZ,03/19/20,7278717,0,45
AZ,03/02/20,7278717,0,1
AZ,03/20/20,7278717,0,68
AZ,03/21/20,7278717,1,104
AZ,03/22/20,7278717,2,152
AZ,03/23/20,7278717,2,235
AZ,03/24/20,7278717,5,326
AZ,03/25/20,7278717,6,401
AZ,03/26/20,7278717,8,508
AZ,03/27/20,7278717,13,665
AZ,03/28/20,7278717,15,773
AZ,03/29/20,7278717,17,919
